psp,bank,country,total_ops,success_ops,failed_ops,decline_ops,error_count,success_rate_%,decline_rate_%,error_rate_%,conversion_rate_%,total_withdrawals_checked,job_starts,job_finishes,job_completion_rate_%,avg_latency_ms,p50_latency_ms,p95_latency_ms,max_latency_ms,transaction_total_volume
Nuvei,Barclays,DE,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,635.13,635.13,635.13,635.13,101.23
Nuvei,Barclays,ES,1,0,1,1,0,0.0,100.0,0.0,0.0,1,1,1,100.0,942.06,942.06,942.06,942.06,204.45
Nuvei,Barclays,FR,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,302.7,302.7,302.7,302.7,419.8
Nuvei,Barclays,IT,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,421.41,421.41,421.41,421.41,408.08
Nuvei,Barclays,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,368.09,368.09,368.09,368.09,94.43
Nuvei,DeutscheBank,DE,2,1,1,0,1,50.0,0.0,50.0,50.0,2,2,2,100.0,477.5,265.0,265.0,690.0,355.5
Nuvei,ING,ES,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,442.74,442.74,442.74,442.74,179.17
Nuvei,ING,FR,2,2,0,0,0,100.0,0.0,0.0,100.0,2,2,2,100.0,659.13,621.93,621.93,696.34,177.44
Nuvei,ING,NL,2,1,1,0,1,50.0,0.0,50.0,50.0,2,2,1,50.0,565.0,260.0,260.0,870.0,245.75
Nuvei,ING,UK,2,0,2,0,2,0.0,0.0,100.0,0.0,2,2,2,100.0,306.85,282.61,282.61,331.09,893.75
Nuvei,Revolut,UK,2,0,2,2,0,0.0,100.0,0.0,0.0,2,2,2,100.0,840.0,770.0,770.0,910.0,165.0
Nuvei,Santander,ES,3,2,1,0,1,66.67,0.0,33.33,66.67,3,3,3,100.0,523.88,310.0,607.59,654.05,693.9
Nuvei,Santander,IT,1,0,1,1,0,0.0,100.0,0.0,0.0,1,1,1,100.0,921.77,921.77,921.77,921.77,20.86
Nuvei,Santander,UK,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,384.02,384.02,384.02,384.02,52.98
PayPal,BNPParibas,FR,2,1,1,0,1,50.0,0.0,50.0,50.0,2,2,2,100.0,436.46,280.0,280.0,592.93,419.16
PayPal,BNPParibas,IT,2,0,2,1,1,0.0,50.0,50.0,0.0,2,2,1,50.0,655.12,462.53,462.53,847.71,791.61
PayPal,BNPParibas,UK,2,1,1,1,0,50.0,50.0,0.0,50.0,2,2,2,100.0,631.01,480.5,480.5,781.52,630.86
PayPal,Barclays,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,851.15,851.15,851.15,851.15,20.57
PayPal,Barclays,UK,3,2,1,0,1,66.67,0.0,33.33,66.67,3,3,3,100.0,443.33,275.0,275.0,780.0,233.25
PayPal,DeutscheBank,IT,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,874.81,874.81,874.81,874.81,318.11
PayPal,ING,NL,3,1,2,0,2,33.33,0.0,66.67,33.33,3,3,2,66.67,559.19,280.0,657.57,740.0,640.32
PayPal,Revolut,UK,2,0,2,1,1,0.0,50.0,50.0,0.0,2,2,2,100.0,755.0,720.0,720.0,790.0,133.0
PayPal,Santander,DE,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,501.31,501.31,501.31,501.31,485.52
PayPal,Santander,ES,3,2,1,1,0,66.67,33.33,0.0,66.67,3,3,3,100.0,628.59,507.99,571.85,805.94,676.57
PayPal,UniCredit,IT,2,1,1,0,1,50.0,0.0,50.0,50.0,2,2,2,100.0,435.5,290.0,290.0,581.0,405.74
PayPal,UniCredit,NL,2,2,0,0,0,100.0,0.0,0.0,100.0,2,2,2,100.0,585.64,319.29,319.29,851.99,422.37
PayPal,UniCredit,UK,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,1,100.0,211.03,211.03,211.03,211.03,407.47
Stripe,BNPParibas,FR,3,3,0,0,0,100.0,0.0,0.0,100.0,3,3,3,100.0,440.56,310.0,320.0,691.68,714.9
Stripe,BNPParibas,IT,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,226.77,226.77,226.77,226.77,296.7
Stripe,BNPParibas,UK,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,642.92,642.92,642.92,642.92,254.89
Stripe,Barclays,ES,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,393.57,393.57,393.57,393.57,162.29
Stripe,Barclays,FR,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,618.83,618.83,618.83,618.83,368.13
Stripe,Barclays,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,256.03,256.03,256.03,256.03,173.26
Stripe,DeutscheBank,DE,1,0,1,1,0,0.0,100.0,0.0,0.0,1,1,1,100.0,830.0,830.0,830.0,830.0,60.0
Stripe,DeutscheBank,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,354.31,354.31,354.31,354.31,421.27
Stripe,DeutscheBank,UK,2,1,1,0,1,50.0,0.0,50.0,50.0,2,2,2,100.0,466.92,202.24,202.24,731.59,491.28
Stripe,ING,FR,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,704.63,704.63,704.63,704.63,172.32
Stripe,ING,IT,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,666.05,666.05,666.05,666.05,433.42
Stripe,ING,NL,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,0,0.0,920.0,920.0,920.0,920.0,55.0
Stripe,Revolut,UK,1,0,1,1,0,0.0,100.0,0.0,0.0,1,1,1,100.0,850.0,850.0,850.0,850.0,40.0
Stripe,Santander,ES,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,310.0,310.0,310.0,310.0,210.0
Stripe,Santander,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,388.23,388.23,388.23,388.23,427.64
Stripe,UniCredit,ES,3,1,2,1,1,33.33,33.33,33.33,33.33,3,3,3,100.0,747.46,679.12,747.35,815.92,662.44
Stripe,UniCredit,IT,3,1,2,0,2,33.33,0.0,66.67,33.33,3,3,2,66.67,688.33,305.0,860.0,900.0,209.99
Worldline,BNPParibas,FR,2,2,0,0,0,100.0,0.0,0.0,100.0,2,2,2,100.0,405.0,390.0,390.0,420.0,390.0
Worldline,Barclays,DE,2,1,1,0,1,50.0,0.0,50.0,50.0,2,2,1,50.0,764.16,701.02,701.02,827.31,497.17
Worldline,Barclays,IT,2,1,1,1,0,50.0,50.0,0.0,50.0,2,2,2,100.0,355.09,345.42,345.42,364.76,409.28
Worldline,Barclays,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,745.92,745.92,745.92,745.92,72.14
Worldline,Barclays,UK,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,0,0.0,810.0,810.0,810.0,810.0,95.0
Worldline,DeutscheBank,DE,4,4,0,0,0,100.0,0.0,0.0,100.0,4,4,4,100.0,559.82,410.0,747.18,797.82,719.4
Worldline,DeutscheBank,ES,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,599.07,599.07,599.07,599.07,215.92
Worldline,DeutscheBank,FR,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,432.11,432.11,432.11,432.11,12.13
Worldline,DeutscheBank,IT,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,552.65,552.65,552.65,552.65,134.22
Worldline,DeutscheBank,UK,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,790.96,790.96,790.96,790.96,92.17
Worldline,ING,DE,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,776.0,776.0,776.0,776.0,350.54
Worldline,ING,IT,1,0,1,0,1,0.0,0.0,100.0,0.0,1,1,0,0.0,386.28,386.28,386.28,386.28,407.3
Worldline,ING,NL,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,260.0,260.0,260.0,260.0,190.0
Worldline,Santander,ES,4,4,0,0,0,100.0,0.0,0.0,100.0,4,4,4,100.0,523.94,410.0,449.07,936.68,1233.0
Worldline,UniCredit,IT,1,1,0,0,0,100.0,0.0,0.0,100.0,1,1,1,100.0,290.0,290.0,290.0,290.0,170.0
Worldline,UniCredit,UK,1,0,1,1,0,0.0,100.0,0.0,0.0,1,1,1,100.0,853.1,853.1,853.1,853.1,132.23
