id,guid,request,request_body,timestamp,response,latency_ms,volume,psp,bank,country,status,error,event_type,source_file,source_format,validation_flags,is_valid,confidence,severity
line-15,,POST /withdrawals/process,,2026-04-16T13:34:56,,690.0,180.0,Nuvei,DeutscheBank,DE,FAILED,NETWORK_ERROR,request,test.txt,freetext_numbered,,True,1.0,CRITICAL
line-16,,POST /withdrawals/process,,2026-04-16T13:35:40,,420.0,260.0,Worldline,BNPParibas,FR,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-17,,POST /withdrawals/process,,2026-04-16T13:36:15,,850.0,40.0,Stripe,Revolut,UK,DECLINED,DECLINED,request,test.txt,freetext_numbered,,True,1.0,MEDIUM
line-18,,POST /withdrawals/process,,2026-04-16T13:37:33,,360.0,500.0,Adyen,Santander,ES,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-19,,POST /withdrawals/process,,2026-04-16T13:38:11,,740.0,65.0,PayPal,ING,NL,FAILED,INSUFFICIENT_FUNDS,request,test.txt,freetext_numbered,,True,1.0,LOW
line-20,,POST /withdrawals/process,,2026-04-16T13:39:59,,295.0,110.0,Checkout,UniCredit,IT,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-21,,POST /withdrawals/process,,2026-04-16T13:40:22,,265.0,175.5,Nuvei,DeutscheBank,DE,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-22,,POST /withdrawals/process,,2026-04-16T13:41:48,,810.0,95.0,Worldline,Barclays,UK,FAILED,TIMEOUT,request,test.txt,freetext_numbered,,True,1.0,HIGH
line-23,,POST /withdrawals/process,,2026-04-16T13:42:30,,320.0,140.0,Stripe,BNPParibas,FR,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-24,,POST /withdrawals/process,,2026-04-16T13:43:17,,860.0,70.0,Adyen,ING,NL,FAILED,NETWORK_ERROR,request,test.txt,freetext_numbered,,True,1.0,CRITICAL
line-25,,POST /withdrawals/process,,2026-04-16T13:44:05,,290.0,60.0,PayPal,UniCredit,IT,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-26,,POST /withdrawals/process,,2026-04-16T13:45:41,,340.0,200.0,Checkout,Santander,ES,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-27,,POST /withdrawals/process,,2026-04-16T13:46:19,,770.0,85.0,Nuvei,Revolut,UK,DECLINED,DECLINED,request,test.txt,freetext_numbered,,True,1.0,MEDIUM
line-28,,POST /withdrawals/process,,2026-04-16T13:47:02,,410.0,330.0,Worldline,DeutscheBank,DE,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-29,,POST /withdrawals/process,,2026-04-16T13:48:44,,920.0,55.0,Stripe,ING,NL,FAILED,TIMEOUT,request,test.txt,freetext_numbered,,True,1.0,HIGH
line-30,,POST /withdrawals/process,,2026-04-16T13:49:33,,300.0,125.0,Adyen,BNPParibas,FR,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-31,,POST /withdrawals/process,,2026-04-16T13:50:10,,275.0,88.0,PayPal,Barclays,UK,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-32,,POST /withdrawals/process,,2026-04-16T13:51:55,,880.0,150.0,Checkout,UniCredit,IT,FAILED,NETWORK_ERROR,request,test.txt,freetext_numbered,,True,1.0,CRITICAL
line-33,,POST /withdrawals/process,,2026-04-16T13:52:20,,310.0,240.0,Nuvei,Santander,ES,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-34,,POST /withdrawals/process,,2026-04-16T13:53:47,,260.0,190.0,Worldline,ING,NL,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-35,,POST /withdrawals/process,,2026-04-16T13:54:11,,830.0,60.0,Stripe,DeutscheBank,DE,DECLINED,DECLINED,request,test.txt,freetext_numbered,,True,1.0,MEDIUM
line-36,,POST /withdrawals/process,,2026-04-16T13:55:39,,345.0,300.0,Adyen,BNPParibas,FR,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-37,,POST /withdrawals/process,,2026-04-16T13:56:28,,790.0,45.0,PayPal,Revolut,UK,FAILED,INSUFFICIENT_FUNDS,request,test.txt,freetext_numbered,,True,1.0,LOW
line-38,,POST /withdrawals/process,,2026-04-16T13:57:12,,315.0,210.0,Checkout,Santander,ES,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-39,,POST /withdrawals/process,,2026-04-16T13:58:44,,870.0,95.0,Nuvei,ING,NL,FAILED,TIMEOUT,request,test.txt,freetext_numbered,,True,1.0,HIGH
line-40,,POST /withdrawals/process,,2026-04-16T13:59:59,,290.0,170.0,Worldline,UniCredit,IT,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-41,,POST /withdrawals/process,,2026-04-16T14:00:11,,310.0,120.0,Stripe,BNPParibas,FR,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-42,,POST /withdrawals/process,,2026-04-16T14:01:42,,840.0,65.0,Adyen,Barclays,UK,FAILED,NETWORK_ERROR,request,test.txt,freetext_numbered,,True,1.0,CRITICAL
line-43,,POST /withdrawals/process,,2026-04-16T14:02:33,,280.0,95.0,PayPal,ING,NL,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-44,,POST /withdrawals/process,,2026-04-16T14:03:15,,330.0,260.0,Checkout,DeutscheBank,DE,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-45,,POST /withdrawals/process,,2026-04-16T14:04:58,,910.0,80.0,Nuvei,Revolut,UK,DECLINED,DECLINED,request,test.txt,freetext_numbered,,True,1.0,MEDIUM
line-46,,POST /withdrawals/process,,2026-04-16T14:05:20,,300.0,220.0,Worldline,Santander,ES,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-47,,POST /withdrawals/process,,2026-04-16T14:06:44,,860.0,50.0,Stripe,UniCredit,IT,FAILED,TIMEOUT,request,test.txt,freetext_numbered,,True,1.0,HIGH
line-48,,POST /withdrawals/process,,2026-04-16T14:07:31,,295.0,145.0,Adyen,BNPParibas,FR,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
line-49,,POST /withdrawals/process,,2026-04-16T14:08:12,,780.0,70.0,PayPal,Barclays,UK,FAILED,INSUFFICIENT_FUNDS,request,test.txt,freetext_numbered,,True,1.0,LOW
line-50,,POST /withdrawals/process,,2026-04-16T14:09:59,,340.0,199.0,Checkout,ING,NL,SUCCESS,,request,test.txt,freetext_numbered,,True,1.0,INFO
